2022-11-29 05:30:08,502 INFO    MainThread:29775 [wandb_setup.py:_flush():68] Configure stats pid to 29775
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/.config/wandb/settings
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/data/VLR/VLR_Project/wandb/settings
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_setup.py:_flush():68] Applying login settings: {'mode': 'offline'}
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_init.py:_log_setup():476] Logging user logs to /home/ubuntu/data/VLR/VLR_Project/wandb/offline-run-20221129_053008-2jxirrn9/logs/debug.log
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_init.py:_log_setup():477] Logging internal logs to /home/ubuntu/data/VLR/VLR_Project/wandb/offline-run-20221129_053008-2jxirrn9/logs/debug-internal.log
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_init.py:init():516] calling init triggers
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_init.py:init():569] starting backend
2022-11-29 05:30:08,503 INFO    MainThread:29775 [wandb_init.py:init():573] setting up manager
2022-11-29 05:30:08,505 INFO    MainThread:29775 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-29 05:30:08,506 INFO    MainThread:29775 [wandb_init.py:init():580] backend started and connected
2022-11-29 05:30:08,509 INFO    MainThread:29775 [wandb_init.py:init():658] updated telemetry
2022-11-29 05:30:08,544 INFO    MainThread:29775 [wandb_init.py:init():728] starting run threads in backend
2022-11-29 05:30:13,552 INFO    MainThread:29775 [wandb_run.py:_console_start():1980] atexit reg
2022-11-29 05:30:13,552 INFO    MainThread:29775 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-29 05:30:13,552 INFO    MainThread:29775 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-29 05:30:13,552 INFO    MainThread:29775 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-29 05:30:13,553 INFO    MainThread:29775 [wandb_init.py:init():765] run started, returning control to user process
2022-11-29 05:30:24,384 WARNING MsgRouterThr:29775 [router.py:message_loop():77] message_loop has been closed
